source,destination,path,cost
0,185,0_444_57_210_157_185,8
0,185,0_444_493_399_185,8
0,185,0_225_81_10_210_157_185,8
0,186,0_10_251_409_186,6
0,186,0_271_403_186,7
0,186,0_361_403_186,7
0,187,0_486_463_187,6
0,187,0_444_493_167_312_463_187,9
0,187,0_444_493_167_160_192_463_187,9
0,188,0_486_68_202_188,6
0,188,0_444_493_422_202_188,8
0,188,0_486_424_425_343_188,8
0,189,0_444_493_189,7
0,189,0_248_97_368_18_189,7
0,190,0_486_475_90_190,8
0,190,0_225_81_330_475_90_190,9
0,190,0_486_463_312_69_190,9
0,190,0_10_81_330_475_90_190,9
0,190,0_486_289_383_72_490_190,9
0,190,0_444_67_338_69_190,9
0,190,0_248_97_383_72_490_190,9
0,191,0_444_461_9_191,7
0,191,0_444_493_142_38_191,7
0,192,0_486_463_192,6
0,192,0_444_493_167_160_192,7
0,193,0_444_493_193,6
0,193,0_444_328_193,6
0,193,0_248_328_193,6
0,194,0_486_68_127_194,6
0,194,0_248_97_194,7
0,194,0_444_493_142_194,7
0,194,0_486_242_127_194,7
0,195,0_271_488_184_195,7
0,195,0_10_251_195,8
0,196,0_486_242_106_196,8
0,196,0_444_493_167_160_196,8
0,196,0_271_319_196,8
0,196,0_486_242_207_196,8
0,197,0_486_242_106_197,8
0,197,0_444_493_301_133_197,9
0,197,0_248_379_247_275_197,9
0,197,0_444_493_167_465_133_197,9
0,197,0_486_475_90_411_197,9
0,198,0_10_210_476_313_198,8
0,198,0_444_493_142_38_26_198,8
0,199,0_486_424_425_343_199,8
0,199,0_486_289_153_199,9
0,199,0_486_424_430_243_199,9
0,199,0_491_110_199,9
0,199,0_486_289_174_243_199,9
0,199,0_10_251_409_357_318_199,9
0,199,0_444_430_243_199,9
0,200,0_486_289_174_243_200,11
0,200,0_444_430_243_200,11
0,200,0_486_242_207_217_135_200,11
0,200,0_486_424_430_243_200,11
0,201,0_444_493_422_345_201,9
0,201,0_486_76_450_300_201,9
0,201,0_444_493_422_355_201,9
0,201,0_444_493_167_125_201,9
0,202,0_486_68_202,5
0,202,0_444_493_422_202,7
0,203,0_486_68_448_203,8
0,203,0_444_493_422_53_75_203,8
0,204,0_271_488_184_119_204,9
0,204,0_486_424_425_428_204,9
0,204,0_225_139_119_204,9
0,204,0_491_122_402_204,9
0,205,0_486_242_106_205,8
0,205,0_10_251_409_378_205,8
0,205,0_363_380_378_205,8
0,205,0_225_367_378_205,8
0,205,0_10_380_378_205,8
0,206,0_486_424_51_206,7
0,206,0_248_97_479_384_206,7
0,206,0_486_289_82_180_206,7
0,207,0_486_242_207,5
0,207,0_486_68_448_207,6
0,208,0_486_76_450_214_208,7
0,208,0_486_107_208,7
0,208,0_486_68_448_214_208,7
0,209,0_486_424_425_428_469_209,8
0,209,0_271_319_209,8
0,210,0_10_210,4
0,210,0_444_57_210,6
0,210,0_225_81_10_210,6
0,211,0_444_493_399_211,8
0,211,0_225_414_364_211,8
0,212,0_444_493_167_163_429_322_212,8
0,212,0_486_289_153_212,8
0,213,0_444_493_422_229_213,6
0,213,0_486_424_425_428_213,7
0,214,0_486_68_448_214,6
0,214,0_486_76_450_214,6
0,215,0_444_493_422_215,7
0,215,0_248_97_134_215,7
0,215,0_248_328_134_215,7
0,215,0_444_328_134_215,7
0,216,0_363_2_216,6
0,216,0_10_392_216,8
0,216,0_486_224_74_321_216,8
0,216,0_486_76_450_315_321_216,8
0,216,0_486_289_276_2_216,8
0,217,0_486_242_207_217,7
0,217,0_486_68_448_207_217,8
